,id,time,link,message,like,share,comment,commentsHighlight
828,1282973728458676_2023038054452236,1548651601,https://www.facebook.com/CH3Thailand/posts/2023038054452236,มาทำความรู้จัก “ลีน่า ลลินา” นักแสดงสาวที่น่าจับตาคนนี้กันค่ะ http://www.ch3thailand.com/news/scoop/15842 ติดตาม ชุมแพ ทุกวันจันทร์-พฤหัสบดี เวลา 19.05 น. และวันศุกร์ เวลา 18.45 น. ทางช่อง 33,673,1,4,"[{'id': 'Y29tbWVudDoyMDIzMDM4MDU0NDUyMjM2XzIwMjMwOTkxOTQ0NDYxMjI=', 'time': 1548653979, 'message': 'ดัน ๆๆๆๆ หน่อยค่าาาา  เบื่อนางเอกหน้าเก่า ๆ แล้ว ออกทีวีบ่อยเกิน  ทั้งละคร ที้งอีเว้นท์ ทั้งโฆษณา ออกจนเอียน เหลือไว้แค่ มิว กับเบลล่า คิม ก็พอค่ะ  แล้วดันนางเอกใหม่ ๆ บ้างนะคะ', 'like': 2}, {'id': 'Y29tbWVudDoyMDIzMDM4MDU0NDUyMjM2XzIwMjQyNjUxNTc2NjI4NTk=', 'time': 1548726504, 'message': 'หน้าเหมือนจ๊ะจ๋าเลยค่ะ', 'like': 2}]"
829,1282973728458676_516740088817103,1548601224,https://www.facebook.com/CH3Thailand/videos/516740088817103/,มาฟัง 3 หนุ่มจาก ซีรีส์ลูกผู้ชาย อิน สาริน ซัน รังสิ และเค้ก นัทธวัชร์ เล่าถึงความสนุกในกองถ่าย และความยากในการรับบทพระเอกครั้งแรกกันค่ะ #ซีรีส์ลูกผู้ชาย #Ch3Thailand,597,64,60,[]
830,1282973728458676_2021801724575869,1548577800,https://www.facebook.com/CH3Thailand/videos/368689740590254/,#คู่ไหนใช่เลย วันนี้ #แจ๊คแฟนฉัน โดนแฉกลางรายการ!! แต่จะเป็นเรื่องอะไร รอดูพร้อมกัน 16.00 น. ทาง #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือแอปพลิเคชัน #Ch3Thailand,95,2,2,"[{'id': 'Y29tbWVudDoyMDIxODAxNzI0NTc1ODY5XzIwMzE3OTM1ODY5MTAwMTY=', 'time': 1549186883, 'message': 'อยากไปร่วมรายการนี้อ่ะ', 'like': 0}]"
831,1282973728458676_2020735678015807,1548510055,https://www.facebook.com/CH3Thailand/videos/619668458500942/,"""มึงอยากรู้ใช่มั้ยว่ากูเป็นใคร"" #หน่วยลับสลับเลิฟ (ตอนจบ) ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand",572,7,10,"[{'id': 'Y29tbWVudDoyMDIwNzM1Njc4MDE1ODA3XzIwMjA5MzI4ODEzMjk0MjA=', 'time': 1548519893, 'message': 'จบแบบนี้จิงๆหรอ เสียใจอะไม่ฟินเลย', 'like': 1}, {'id': 'Y29tbWVudDoyMDIwNzM1Njc4MDE1ODA3XzIwMjA5OTAwMjQ2NTcwMzk=', 'time': 1548522554, 'message': 'โหดร้ายนะบักปอบฤทธิ์ ฆ่าคนแก่', 'like': 0}]"
832,1282973728458676_2020657131356995,1548508550,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2020657111356997/?type=3,เรื่องราวตอนจบของแต่ละคนจะเป็นอย่างไร #หน่วยลับสลับเลิฟ (ตอนจบ) ดูสดตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก www.ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน Ch3Thailand,880,17,22,"[{'id': 'Y29tbWVudDoyMDIwNjU3MTMxMzU2OTk1XzIwMjA3MDM1NzgwMTkwMTc=', 'time': 1548508863, 'message': 'เหมือนจะสนุกแต่น่ารำคาญกับแอคติ้งนางเอกที่เว่อร์ ที่พุดเดิ้ลอยากให้เป็นแบบตัวเอง รำคาญมาก อยากดูหมอโฉลงแล้วค่ะ', 'like': 10}, {'id': 'Y29tbWVudDoyMDIwNjU3MTMxMzU2OTk1XzIwMjA3NDIwMzgwMTUxNzE=', 'time': 1548510342, 'message': 'รู้สึกว่าจบเร็วไปหน่อยเหมือนโดนตัดบางตอนออกไปยังไงไม่รู้', 'like': 7}]"
833,1282973728458676_2019059978183377,1548412200,https://www.facebook.com/CH3Thailand/videos/760420027669788/,"""อโศก แสนกล"" จะใช่นายอำเภอคนใหม่ของชุมแพจริงไหม? รับชมละครย้อนหลัง ชุมแพ EP.14 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/15808 #ชุมแพ #Ch3Thailand",243,7,1,"[{'id': 'Y29tbWVudDoyMDE5MDU5OTc4MTgzMzc3XzIwMzgzMDEzOTYyNTkyMzU=', 'time': 1549562549, 'message': 'มิวเล่นเก่งวะ', 'like': 0}]"
834,1282973728458676_2035412666748972,1541563669,https://www.facebook.com/CH3Thailand/videos/2035412666748972/,"""คนที่จะมาแทนคุณปู่ได้มีคนเดียวเท่านั้น คือทายาทที่แท้จริง"" น้ำตาลตอบกลับเสี่ยสองได้ดีมากค่ะ 😡😡 รับชมละครย้อนหลัง ประกาศิตกามเทพ EP.13 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/14819 #ประกาศิตกามเทพ #Ch3Thailand",1571,25,4,"[{'id': 'Y29tbWVudDoyMDM1NDEyNjY2NzQ4OTcyXzIwMzU0MzM4NzY3NDY4NTE=', 'time': 1541565321, 'message': 'เนี่ย!ไม่เข้าใจจริงๆทำไมต้องเอาพ่อชาญไปซ่อน   แค่เปิดเผยว่าเป็นหลาน   ก็ให้หลานเลี้ยงดูพ่อชาญต่อไปก็จบ  ปู่  ทำให้ยุ่งยากเฉยๆ', 'like': 0}]"
835,1282973728458676_475900732818098,1541496600,https://www.facebook.com/CH3Thailand/videos/475900732818098/,"""เพราะเหตุนี้ใช่ไหม คุณถึงขอผมอย่าให้เกลียดคุณ"" สงสารทั้งเหมันต์และน้ำตาลมากเลยค่ะ 😢😢 รับชมละครย้อนหลัง ประกาศิตกามเทพ EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/14806 #ประกาศิตกามเทพ #Ch3Thailand",1033,23,3,"[{'id': 'Y29tbWVudDo0NzU5MDA3MzI4MTgwOThfNDc4NjI3MzIyNTQ1NDM5', 'time': 1542017624, 'message': 'สงสารน้ำตาลจัง เดี๋ยวต้องยอมถอนหมั้นหลีกทางให้ลาวัลย์อีก', 'like': 0}, {'id': 'Y29tbWVudDo0NzU5MDA3MzI4MTgwOThfNDg2NTg3NTg4NDE2MDc5', 'time': 1543461655, 'message': 'สวย', 'like': 0}]"
836,1282973728458676_2456663401227312,1541482200,https://www.facebook.com/CH3Thailand/videos/2456663401227312/,"""เขียนก็เขียนผิด สวรรค์เขาไม่มีโรงเรียนสอนหรือไง"" คุณยักษ์น่ารักมากๆ เลยค่ะ 😍😍 รับชมละครย้อนหลัง แก้วกุมภัณฑ์ EP.24 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/14805 #แก้วกุมภัณฑ์ #Ch3Thailand",428,8,6,"[{'id': 'Y29tbWVudDoyNDU2NjYzNDAxMjI3MzEyXzI0NTcwMjA5MDExOTE1NjI=', 'time': 1541517676, 'message': 'ยักษ์โง่ให้ผู้หญิงหลอกถามเรื่องลูก\nแก้วบอกเขาหมดทีนางเอกไม่ยอมบอก', 'like': 0}, {'id': 'Y29tbWVudDoyNDU2NjYzNDAxMjI3MzEyXzI0NTY3NjgyNjc4ODM0OTI=', 'time': 1541483837, 'message': 'เริ่มเหนื่อยแร้วนิๆๆๆๆนางเอกม้ายรุ้รัยๆๆๆๆๆเข้าข้างแต่นาคาๆๆๆ', 'like': 2}]"
837,1282973728458676_491576194681998,1541413801,https://www.facebook.com/CH3Thailand/videos/491576194681998/,"""คุณยักษ์"" บีบคอ ""แม่แย้ม"" ทำไมกันนะ!! ติดตามชม #แก้วกุมภัณฑ์ วันนี้ 19.05 น. ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",363,7,13,"[{'id': 'Y29tbWVudDo0OTE1NzYxOTQ2ODE5OThfNDkxNjUwOTM4MDA3ODU3', 'time': 1541423327, 'message': 'อย่าพึ่งรีบจบนะ ยึดไปอีกซะ 3-4 ตอน สนุกดีๆ ติดมากๆ จิ้น ฟินมาก 💖', 'like': 0}, {'id': 'Y29tbWVudDo0OTE1NzYxOTQ2ODE5OThfNDkxNjM0Nzc4MDA5NDcz', 'time': 1541420674, 'message': 'ติดตามทุกวัน ดูแล้วดูอีก ชอบมากกกก\nเดี๋ยวนี้คุณนาถเริ่มรุกแล้ว5555', 'like': 0}]"
